date,region,pm25,pm10
2024-01-01,Johannesburg,2.4211644245042407e-08,3.4730895492884883e-08
2024-01-02,Johannesburg,2.1049784137971983e-08,3.007905036156444e-08
2024-01-03,Johannesburg,2.1303183217469268e-08,3.0542658180365834e-08
2024-01-04,Johannesburg,3.274701398936486e-08,4.68232919104139e-08
2024-01-05,Johannesburg,1.8113475164227566e-08,2.587900027606338e-08
2024-01-06,Johannesburg,1.7688151388028928e-08,2.5290795235832775e-08
2024-01-07,Johannesburg,4.567425904156153e-08,6.528149043560916e-08
2024-01-08,Johannesburg,3.989522312508598e-08,5.703465788542417e-08
2024-01-09,Johannesburg,9.079093921116055e-09,1.2958490280823298e-08
2024-01-10,Johannesburg,3.9329108858510153e-08,5.6291810324182734e-08
2024-01-11,Johannesburg,1.4108490375974725e-08,2.0188300808854365e-08
2024-01-12,Johannesburg,1.305530528128429e-08,1.8672874801950456e-08
2024-01-13,Johannesburg,2.3508038182740165e-08,3.357946454229932e-08
2024-01-14,Johannesburg,3.01006082281674e-08,4.303525713567069e-08
2024-01-15,Johannesburg,4.1384968341162676e-08,5.921902257455258e-08
2024-01-16,Johannesburg,7.526575274141578e-08,1.0765667468604079e-07
2024-01-17,Johannesburg,2.7722313333811144e-08,3.964760963981462e-08
2024-01-18,Johannesburg,1.75118817224984e-08,2.5016584359605076e-08
2024-01-19,Johannesburg,3.6365646050029454e-09,5.247115186790552e-09
2024-01-20,Johannesburg,1.0583623755167082e-08,1.553622297478796e-08
2024-01-21,Johannesburg,5.6421654903715535e-08,8.092617065358354e-08
2024-01-22,Johannesburg,3.751848964839155e-08,5.3805258914962906e-08
2024-01-23,Johannesburg,3.094556433325124e-08,4.439881706730375e-08
2024-01-24,Johannesburg,1.0524050964022535e-08,1.5423671229086722e-08
2024-01-25,Johannesburg,2.9455870631522885e-08,4.230288652706804e-08
2024-01-26,Johannesburg,4.273647746799725e-08,6.118989404058084e-08
2024-01-27,Johannesburg,3.008653948199935e-08,4.30159161624033e-08
2024-01-28,Johannesburg,1.901605095611103e-08,2.7192559315381004e-08
2024-01-29,Johannesburg,1.6293491000851645e-08,2.3324911779809554e-08
2024-01-30,Johannesburg,4.881770010456421e-08,6.982645572861657e-08
2024-01-31,Johannesburg,2.362862794313969e-08,3.410106685919345e-08
2024-02-01,Johannesburg,6.563829035854951e-09,9.686126567487463e-09
2024-02-02,Johannesburg,6.166387844785959e-09,8.909429638492838e-09
2024-02-03,Johannesburg,3.377567736606579e-08,4.875164805184795e-08
2024-02-04,Johannesburg,2.6499721528239206e-08,3.800915138185701e-08
2024-02-05,Johannesburg,2.4563632905483246e-08,3.5235643736086786e-08
2024-02-06,Johannesburg,1.4070792531128973e-08,2.0274455891922116e-08
2024-02-07,Johannesburg,3.0899229841452325e-08,4.42851195714411e-08
2024-02-08,Johannesburg,3.598985287567302e-08,5.187484930502251e-08
2024-02-09,Johannesburg,1.6235405908560097e-08,2.3292860973356255e-08
2024-02-10,Johannesburg,2.5577211459903992e-08,3.656783320593604e-08
2024-02-11,Johannesburg,5.647850187529002e-09,8.089958036805456e-09
2024-02-12,Johannesburg,1.6885465470295458e-08,2.414028621444686e-08
2024-02-13,Johannesburg,2.626252637583093e-08,3.763263833889141e-08
2024-02-14,Johannesburg,3.517322255675026e-08,5.035601446934379e-08
2024-02-15,Johannesburg,2.079060124060561e-08,2.99510389822899e-08
2024-02-16,Johannesburg,9.961242497524836e-09,1.4520540325690945e-08
2024-02-17,Johannesburg,6.603912972025228e-09,9.574727677374995e-09
2024-02-18,Johannesburg,1.3639018803246472e-08,1.9765151293427152e-08
2024-02-19,Johannesburg,2.0517973098321818e-08,2.936667620190292e-08
2024-02-20,Johannesburg,3.137757431659338e-08,4.486629023858768e-08
2024-02-21,Johannesburg,3.649467572586218e-08,5.22627594534697e-08
2024-02-22,Johannesburg,,
2024-02-23,Johannesburg,,
2024-02-24,Johannesburg,,
2024-02-25,Johannesburg,,
2024-02-26,Johannesburg,,
2024-02-27,Johannesburg,,
2024-02-28,Johannesburg,,
2024-02-29,Johannesburg,2.5277589799088673e-08,3.638502477087968e-08
