date,no2,tropospheric_no2,o3
2020-07-01,0.00017711415940945907,0.0001429613021246611,0.11494064991538046
2020-07-02,9.42315688323814e-05,6.0639999924680924e-05,0.11046876077095634
2020-07-03,0.00024649267936698954,0.00020903669127424562,0.1198867740759109
2020-07-04,,,
2020-07-05,9.563992450323286e-05,6.121978387456188e-05,0.11671539135628937
2020-07-06,0.00021591800640506097,0.00017871090429564854,0.11864334477656463
2020-07-07,0.00010586592558809127,7.09370566521293e-05,0.12113261523178592
2020-07-08,0.00012020532975051845,8.384469231657602e-05,0.12041244138191125
2020-07-09,5.2498750903022865e-05,1.6097997973143836e-05,0.12056949245236541
2020-07-10,7.805156625411105e-05,3.727866205429501e-05,0.12078581073771655
2020-07-11,5.602361307461853e-05,2.0598207387081658e-05,0.13178254704275885
2020-07-12,0.0001802441895995776,0.00014666552573482035,0.12479121780041509
2020-07-13,8.765809849350992e-05,5.3134413803835656e-05,0.1205893525765228
2020-07-14,7.774772968867598e-05,3.9220898677286654e-05,0.12126051600673107
2020-07-15,,,
2020-07-16,0.0002541223769132421,0.00021946740529318187,0.12530621061047487
2020-07-17,0.0005422995073607166,0.0005070212863313165,0.12477911643842897
2020-07-18,0.0004761061146580814,0.0004408283422704435,0.11884220963585841
2020-07-19,0.00037882338324894373,0.0003435119874229397,0.11992569269829098
2020-07-20,0.00024398585175394345,0.0002107580323904133,0.12283536680932827
2020-07-21,0.00040362105178271365,0.00037293708082122975,0.12372145789447701
2020-07-22,,,0.1193946871268904
2020-07-23,0.000680400947286124,0.0006442989564166453,0.12026650098437514
2020-07-24,0.0005958271326211859,0.000562812432127174,0.12058415293234866
2020-07-25,0.00013667860142006877,0.00010067437760285161,0.11624074352309008
2020-07-26,,,
2020-07-27,0.00029525439325181333,0.0002557273023557242,0.11880195956342335
2020-07-28,8.994131535319526e-05,5.3090128827127895e-05,0.1231903151948618
2020-07-29,0.00012727387039407345,9.01310798222034e-05,0.12101901605511167
2020-07-30,0.00014052781515288138,0.00010284502011006754,0.12040440217943732
2020-07-31,0.00020192290167634364,0.00016728499793956632,0.12555979151227353
2020-08-01,,,
2020-08-02,0.0002640212146266262,0.00022998519352317057,0.12512744554770552
2020-08-03,0.0003003715538309237,0.00026601188072369224,0.12209552936846961
2020-08-04,0.00012041149603678917,8.349402021068712e-05,0.12217130126037834
2020-08-05,0.00011254345011299913,7.414556776752978e-05,0.12382901703296517
2020-08-06,7.776369055137447e-05,3.561685068678619e-05,0.11863776247214518
2020-08-07,0.0001076067356410736,,0.11875130015275086
2020-08-08,9.186995876334787e-05,4.956384274327542e-05,0.11771350588466911
2020-08-09,7.399592314964704e-05,3.092221434460154e-05,0.11943474734294497
2020-08-10,9.832633083320378e-05,5.747457428134343e-05,0.11641282502466685
2020-08-11,9.850978578444287e-05,5.776690120140291e-05,0.11856718217885222
2020-08-12,0.00010052368043989041,6.000473981779363e-05,0.12024668214307058
2020-08-13,8.763450208047258e-05,4.662475342893033e-05,0.1161088922366549
2020-08-14,0.00019935990885826567,0.000157229298278241,0.12583458354272503
2020-08-15,6.907495217597928e-05,2.757527196322383e-05,0.12608978182280056
2020-08-16,7.975587675508573e-05,3.7555909511850296e-05,0.12047810207609361
2020-08-17,9.238088767549902e-05,4.9401498594933315e-05,0.12383438012564917
2020-08-18,7.1312167482476e-05,2.922892315364131e-05,0.12480998932213354
2020-08-19,0.00018351506233313245,0.00014233853807668108,0.1266521452692762
2020-08-20,0.00010442715031268151,6.08022422838366e-05,0.1301734220608426
2020-08-21,0.00046679518446669305,0.0004266650706406082,0.13223244548859422
2020-08-22,9.642723883316718e-05,5.2620703279606034e-05,0.12714589255313735
2020-08-23,8.468584953547931e-05,4.210330215385582e-05,0.12301485428270764
2020-08-24,9.734409063158447e-05,5.604731761397861e-05,0.1210881909283254
2020-08-25,0.00010165868845699329,5.939681718249446e-05,0.11734553193864608
2020-08-26,8.945329164733038e-05,4.694230256837455e-05,0.11759044248927894
2020-08-27,7.836805142738196e-05,3.522292227052499e-05,0.11920311019654699
2020-08-28,8.715253695435183e-05,4.419161879552633e-05,0.12240551713100163
2020-08-29,9.171056247776482e-05,5.085035418611884e-05,0.1245505938369693
2020-08-30,7.743554277008614e-05,3.222004901060393e-05,0.12452717352494487
2020-08-31,9.873477321949262e-05,5.359311897497737e-05,0.12439001782124143
2020-09-01,8.104450127678764e-05,,0.12653219146797012
2020-09-02,0.00010830302402500284,,0.12364689625001188
2020-09-03,9.57757306761324e-05,5.061543097297966e-05,0.12310648247338
2020-09-04,0.00012649633687551352,8.023894180112381e-05,0.12114037133019892
2020-09-05,0.00021860320750821872,0.00017369907883736207,0.12610858096988342
2020-09-06,0.00012650732896888164,8.700934155872548e-05,0.12488142373807204
2020-09-07,8.428819989216223e-05,4.606379351719125e-05,0.11846125112344127
2020-09-08,0.00028147089377897767,0.0002384723797505398,0.12269058064792832
2020-09-09,0.0002851545965687504,0.00024115564992741208,0.12345010766850305
