var,description
pospcr_nasal_r2,pospcr_nasal
dc_ill_med1_freq_v2_3,Frequency
sx_pulse,Pulse rate
pospcr_sob_qresol,Is symptom (sob) resolution date known?
d14_serum_13_tim,
dc_ill_med1_dose_v2_3,Dosage
d364_smell_st_v3_2,Start date
d7_chills,
d56_oth2_st_v3_2,Start date
icf_ad_dat_v1_0,Date of informed consent
conmeds5_v2_3,5. GENERIC NAME
dc_pv_smell_1_v2_3,Day 1
icf_re_dat_v3_0,Date of main consent
prevac_ns_2a___1,
pospcr_data_sources___4,
icf_sc_stor_tim_v3_0,Time of consent
med_stop_mo_32_v2_3,Stop Date - Month
pv60_temp,
dc_ill_smell_1_v2_3,Loss of sense of smell Day 1
pospcr_spo2,pospcr_spo2
med_start_yr_2_v2_3,Start Date - Year
dc_pv_med1_freq_v2_3,Frequency
vacc_date_2,Second vaccination date
un_arm,Initial randomization arm
ev_run_st,
pe_complain_v2_3,Current complaints
icf_re_oth_sp_v3_0,Other version of ICF
exam_resp_v2_3,Respiratory
d364_oxy_v3_2,Oxygen saturation
d3_diarr,
scr_id,
d7_redness_comment,
dc_ill_oth1_7_v2_3,Other 1 Day 7
ae_yes_sae_21_v2_3___1,
icf_locked_date_v2_3,Locked date
ae_yes_sae_7_v2_3___1,
dc_pv_bruis_6_v2_3,Day 6
ev_oth_det_cs,
med_start_mo_34_v2_3,Start Date - Month
eos_death_location_oth_v2_3,Place of death:
d28_diarr,
d7_cyt_13___1,
scr_group,
medication_name_9_v2_3,Mediation Name or Therapy
med_ongoing_end_23_v2_3___1,
dc_ill_med11_dose_v2_3,Dosage
dc_pv_bruis_comm_v2_3,"Comments, including stop date if symptom ongoing on day 6"
medication_tmt_30_v2_3,Prophylaxis or Treatment
pospcr_symptoms_r2___18,
d364_neut_3_v3_2___1,
s6_cmi___1,
ae_name_29_v2_3,Adverse event name
dc_ill_body_2_v2_3,Body aches Day 2
sc_ns_3___1,
d42_body_v3_2,Body aches
d28_resp,
ae_sae_12_v2_3,"If ticked, specify reason"
ae_og_15_v2_3___1,
ae_og_14_v2_3___1,
med_stop_day_14_v2_3,Stop Date - Day
prevac_sal_3___1,
pospcr_condition___5,
ae_yes_sae_32_v2_3___1,
allergen1_v2_3,1. Allergen1
dc_ill_add_det_v2_3,Please add details of illness not captured in table above
pospcr_hightemp_r2,"Please record the highest body temperature documented during episode     ( °C, 1dp):"
s6_musclepains,Muscle pains
s1_musclepains,Muscle pains
medication_route_25_v2_3,Route Code
d28_head,
medhist_psych_det_v2_3,Details
ae_yes_sae_34_v2_3___1,
